atleta_id,name,pos,team,price,media,status,desvio,ult5
73318,Daniel Borges,LAT,MIR,5.75,4.04,Nulo,2.48,4.04
72279,Thomazella,GOL,MIR,0.83,-1.35,Nulo,0.0,0.3
97460,João Victor,ZAG,MIR,4.9,2.59,Provável,2.99,4.66
136156,Larson,MEI,PAL,2.1,0.48,Nulo,0.85,1.1
90917,Carlos Eduardo,ATA,MIR,4.97,3.06,Nulo,4.26,2.3600000000000003
77777,João Schmidt,MEI,SAN,4.72,1.79,Provável,0.97,2.28
97321,Alesson,ATA,MIR,8.3,4.92,Dúvida,3.65,5.96
87742,Neto Moura,MEI,MIR,3.31,1.56,Nulo,1.98,2.4799999999999995
81005,André Luis,ATA,MIR,3.05,1.02,Nulo,2.62,2.2199999999999998
97520,Shaylon,MEI,MIR,3.48,1.63,Dúvida,2.76,1.7399999999999998
83257,Gabriel,ATA,SAN,8.73,4.7,Provável,5.57,4.96
